"","track_id","track_name","plays","date_retrieved"
"1","24emu3sabKISjRkrys28jq","Lavender Haze",440003544,"Thu Jun  8 14:59:43 2023"
"2","6qxvy9Pe4RJIq5JBVbbwbS","Maroon",NA,"Thu Jun  8 14:59:04 2023"
"3","5qIHFdkW6phMsTZlN2g8Lc","Anti-Hero",NA,"Thu Jun  8 14:59:04 2023"
"4","7GA86Uo2jYbj8vIXe2nyWd","Snow On The Beach (feat. Lana Del Rey)",300605971,"Thu Jun  8 15:21:49 2023"
"5","6PQOU00xWNrGwCZzboriXy","You're On Your Own, Kid",NA,"Thu Jun  8 14:59:04 2023"
"6","4eKMqf9ZMSclDX7V9Ptg7x","Midnight Rain",NA,"Thu Jun  8 14:59:04 2023"
"7","7oomkQSYf1ia2VnVEWfFIU","Question...?",NA,"Thu Jun  8 14:59:04 2023"
"8","0GKDhq6ZbmSbRHd3eyGlB7","Vigilante Shit",NA,"Thu Jun  8 14:59:04 2023"
"9","0VpF6RLdCfPIeYRwMu4tZK","Bejeweled",NA,"Thu Jun  8 14:59:04 2023"
"10","4bBDkw2KBMX0tcgAaXC83Q","Labyrinth",NA,"Thu Jun  8 14:59:04 2023"
"11","45R112Jz5hQeKgITXgSXzs","Karma",NA,"Thu Jun  8 14:59:04 2023"
"12","2L09RYwH5Pjzca6PmbUAw3","Sweet Nothing",NA,"Thu Jun  8 14:59:04 2023"
"13","1QQii3pa5m8MEda0nbkjfw","Mastermind",NA,"Thu Jun  8 14:59:04 2023"
"14","2VuqMjgoKaOHNM8HpxtXKx","The Great War",NA,"Thu Jun  8 14:59:04 2023"
"15","71CBDRKmF2VeRKYMG1DFBh","Bigger Than The Whole Sky",NA,"Thu Jun  8 14:59:04 2023"
"16","5tWxKWq1DSP1s9WQ5PWuqu","Paris",NA,"Thu Jun  8 14:59:04 2023"
"17","1SztNGCwEHJEVFx90E5g7D","High Infidelity",NA,"Thu Jun  8 14:59:04 2023"
"18","7C0w28EsX0Um2FrZs9gso2","Glitch",NA,"Thu Jun  8 14:59:04 2023"
"19","4txojlesMFQZGWxwz2EeqB","Would've, Could've, Should've",NA,"Thu Jun  8 14:59:04 2023"
"20","10GRRCR5fctuOF4GFmATJI","Dear Reader",NA,"Thu Jun  8 14:59:04 2023"
"21","3xYJScVfxByb61dYHTwiby","Hits Different",NA,"Thu Jun  8 14:59:04 2023"
"22","4zmKGsrXjLmljb5fTaBTot","Snow On The Beach (feat. More Lana Del Rey)",NA,"Thu Jun  8 14:59:04 2023"
"23","4i6cwNY6oIUU2XZxPIw82Y","Karma (feat. Ice Spice)",NA,"Thu Jun  8 14:59:04 2023"
"24","4g2c7NoTWAOSYDy44l9nub","Lavender Haze",NA,"Thu Jun  8 14:59:04 2023"
"25","199E1RRrVmVTQqBXih5qRC","Maroon",NA,"Thu Jun  8 14:59:04 2023"
"26","02Zkkf2zMkwRGQjZ7T4p8f","Anti-Hero",NA,"Thu Jun  8 14:59:04 2023"
"27","6ADDIJxxqzM9LMpm78yzQG","Snow On The Beach (feat. Lana Del Rey)",NA,"Thu Jun  8 14:59:04 2023"
"28","7gVWKBcfIW93YxNBi3ApIE","You're On Your Own, Kid",NA,"Thu Jun  8 14:59:04 2023"
"29","6Nl7KyvjkFncGsjB49SxLl","Midnight Rain",NA,"Thu Jun  8 14:59:04 2023"
"30","6C7OF1Jal7YkyjzyUG8vkK","Question...?",NA,"Thu Jun  8 14:59:04 2023"
"31","5yeuXkukVGuix3vmLu2BPJ","Vigilante Shit",NA,"Thu Jun  8 14:59:04 2023"
"32","0jvo9CjnbR0lYUDTSNTMiu","Bejeweled",NA,"Thu Jun  8 14:59:04 2023"
"33","43q586vP8gGkYypKoSddhl","Labyrinth",NA,"Thu Jun  8 14:59:04 2023"
"34","5oqDgw5VGBln5dSIOPWyBq","Karma",NA,"Thu Jun  8 14:59:04 2023"
"35","3zmwONxswBAzGwExPugSLN","Sweet Nothing",NA,"Thu Jun  8 14:59:04 2023"
"36","56hioFjQ0DXrdn04hZcFgG","Mastermind",NA,"Thu Jun  8 14:59:04 2023"
"37","3UMrglJeju5yWyYIW6o99b","The Great War",NA,"Thu Jun  8 14:59:04 2023"
"38","0BiqmkasE5FdrChwKfVp8X","Bigger Than The Whole Sky",NA,"Thu Jun  8 14:59:04 2023"
"39","7712gjoih4QoDbXpljEk21","Paris",NA,"Thu Jun  8 14:59:04 2023"
"40","5kiZGSxgqPdv6rbqL9THdd","High Infidelity",NA,"Thu Jun  8 14:59:04 2023"
"41","6wAFvJPpTZVirBKGZ4EnMW","Glitch",NA,"Thu Jun  8 14:59:04 2023"
"42","0aV5uARAknQgYhBaK944FP","Would've, Could've, Should've",NA,"Thu Jun  8 14:59:04 2023"
"43","3QF5RsWzK1lCvf2o2cY65P","Dear Reader",NA,"Thu Jun  8 14:59:04 2023"
"44","5jQI2r1RdgtuT8S3iG8zFC","Lavender Haze",NA,"Thu Jun  8 14:59:04 2023"
"45","3eX0NZfLtGzoLUxPNvRfqm","Maroon",NA,"Thu Jun  8 14:59:04 2023"
"46","0V3wPSX9ygBnCm8psDIegu","Anti-Hero",NA,"Thu Jun  8 14:59:04 2023"
"47","1wtOxkiel43cVs0Yux5Q4h","Snow On The Beach (feat. Lana Del Rey)",NA,"Thu Jun  8 14:59:04 2023"
"48","4D7BCuvgdJlYvlX5WlN54t","You're On Your Own, Kid",NA,"Thu Jun  8 14:59:04 2023"
"49","3rWDp9tBPQR9z6U5YyRSK4","Midnight Rain",NA,"Thu Jun  8 14:59:04 2023"
"50","0heeNYlwOGuUSe7TgUD27B","Question...?",NA,"Thu Jun  8 14:59:04 2023"
"51","1xwAWUI6Dj0WGC3KiUPN0O","Vigilante Shit",NA,"Thu Jun  8 14:59:04 2023"
"52","3qoftcUZaUOncvIYjFSPdE","Bejeweled",NA,"Thu Jun  8 14:59:04 2023"
"53","0A1JLUlkZkp2EFrosoNQi0","Labyrinth",NA,"Thu Jun  8 14:59:04 2023"
"54","7KokYm8cMIXCsGVmUvKtqf","Karma",NA,"Thu Jun  8 14:59:04 2023"
"55","0wavGRldH0AWyu2zvTz8zb","Sweet Nothing",NA,"Thu Jun  8 14:59:04 2023"
"56","7FmYn9e7KHMXcxqGSj9LjH","Mastermind",NA,"Thu Jun  8 14:59:04 2023"
"57","6lzc0Al0zfZOIFsFvBS1ki","State Of Grace (Taylor's Version)",NA,"Thu Jun  8 14:59:04 2023"
"58","4OAuvHryIVv4kMDNSLuPt6","Red (Taylor's Version)",NA,"Thu Jun  8 14:59:04 2023"
"59","3S7HNKPakdwNEBFIVTL6dZ","Treacherous (Taylor's Version)",NA,"Thu Jun  8 14:59:04 2023"
"60","6AtZLIzUINvExIUy4QhdjP","I Knew You Were Trouble (Taylor's Version)",NA,"Thu Jun  8 14:59:04 2023"
"61","3nsfB1vus2qaloUdcBZvDu","All Too Well (Taylor's Version)",NA,"Thu Jun  8 14:59:04 2023"
"62","3yII7UwgLF6K5zW3xad3MP","22 (Taylor's Version)",NA,"Thu Jun  8 14:59:04 2023"
"63","2r9CbjYgFhtAmcFv1cSquB","I Almost Do (Taylor's Version)",NA,"Thu Jun  8 14:59:04 2023"
"64","5YqltLsjdqFtvqE7Nrysvs","We Are Never Ever Getting Back Together (Taylor's Version)",NA,"Thu Jun  8 14:59:04 2023"
"65","7eQj6r5PIdYKEIZjucBMcq","Stay Stay Stay (Taylor's Version)",NA,"Thu Jun  8 14:59:04 2023"
"66","0y6kdSRCVQhSsHSpWvTUm7","The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version)",NA,"Thu Jun  8 14:59:04 2023"
"67","7J4b3LVCIGO4CMBDFLPoP6","Holy Ground (Taylor's Version)",NA,"Thu Jun  8 14:59:04 2023"
"68","73qMN9bXy7MSPwwGfH3wQr","Sad Beautiful Tragic (Taylor's Version)",NA,"Thu Jun  8 14:59:04 2023"
"69","4e5ayHsOLJNLTGfjau2mEw","The Lucky One (Taylor's Version)",NA,"Thu Jun  8 14:59:04 2023"
